date,value_weighted_return
1978-02-28,-0.009275
1978-03-31,0.034009
1978-04-28,0.082853
1978-05-31,0.02323
1978-06-30,-0.010749
1978-07-31,0.056741
1978-08-31,0.04237
1978-09-29,-0.006889
1978-10-31,-0.110995
1978-11-30,0.033787
1978-12-29,0.017708
1979-01-31,0.04953
1979-02-28,-0.026765
1979-03-30,0.065613
1979-04-30,0.00852
1979-05-31,-0.013571
1979-06-29,0.046852
1979-07-31,0.014991
1979-08-31,0.064732
1979-09-28,0.001426
1979-10-31,-0.072662
1979-11-30,0.063604
1979-12-31,0.028215
1980-01-31,0.065607
1980-02-29,0.001015
1980-03-31,-0.120224
1980-04-30,0.052287
1980-05-30,0.060091
1980-06-30,0.037714
1980-07-31,0.069438
1980-08-29,0.023554
1980-09-30,0.029498
1980-10-31,0.020095
1980-11-28,0.104952
1980-12-31,-0.034411
1981-01-30,-0.040085
1981-02-27,0.015519
1981-03-31,0.046183
1981-04-30,-0.011266
1981-05-29,0.013546
1981-06-30,-0.010243
1981-07-31,-0.003079
1981-08-31,-0.056281
1981-09-30,-0.063776
1981-10-30,0.060162
1981-11-30,0.045848
1981-12-31,-0.028096
1982-01-29,-0.026209
1982-02-26,-0.051126
1982-03-31,-0.010101
1982-04-30,0.043269
1982-05-28,-0.028213
1982-06-30,-0.023913
1982-07-30,-0.020526
1982-08-31,0.119016
1982-09-30,0.016766
1982-10-29,0.118632
1982-11-30,0.051941
1982-12-31,0.01451
1983-01-31,0.041844
1983-02-28,0.030215
1983-03-31,0.034678
1983-04-29,0.074185
1983-05-31,0.013225
1983-06-30,0.037837
1983-07-29,-0.03157
1983-08-31,0.003465
1983-09-30,0.016027
1983-10-31,-0.028038
1983-11-30,0.029556
1983-12-30,-0.010464
1984-01-31,-0.013025
1984-02-29,-0.039073
1984-03-30,0.01339
1984-04-30,0.002538
1984-05-31,-0.05232
1984-06-29,0.023384
1984-07-31,-0.020623
1984-08-31,0.112691
1984-09-28,0.000403
1984-10-31,-7.3e-05
1984-11-30,-0.010685
1984-12-31,0.023653
1985-01-31,0.085719
1985-02-28,0.016898
1985-03-29,-0.001747
1985-04-30,-0.002187
1985-05-31,0.055774
1985-06-28,0.017091
1985-07-31,-0.000251
1985-08-30,-0.004794
1985-09-30,-0.039826
1985-10-31,0.044441
1985-11-29,0.069228
1985-12-31,0.043062
1986-01-31,0.00983
